"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_ArmSpan.Eth","z[5]",1.00038104596585,15410.4309615717
"Female","m2_ArmSpan.Eth","a",1.0006085602458,7854.76102042574
"Female","m2_ArmSpan.Eth","sigma_b",1.00048068442777,5970.37661010729
"Female","m2_ArmSpan.Eth","sigma_y",1.00061370017801,5336.33840367416
"Female","m2_ArmSpan.Eth","sigma",1.00041604844355,14519.000805305
"Female","m2_ArmSpan.Eth","y[1]",1.00093175057329,7754.26394261233
"Female","m2_ArmSpan.Eth","y[2]",1.00014761880004,6996.92026620701
"Female","m2_ArmSpan.Eth","y[3]",1.00060134799859,14266.2550666519
"Female","m2_ArmSpan.Eth","y[4]",1.00060270346637,10125.70665312
"Female","m2_ArmSpan.Eth","y[5]",1.00051664542057,15944.4621819791
"Female","m2_ArmSpan.Eth","b[1]",1.0002382354871,10085.7989011584
"Female","m2_ArmSpan.Eth","b[2]",1.00039577506122,15321.7391109668
"Female","m2_ArmSpan.Eth","b[3]",1.00030523481911,14181.7559409068
"Female","m2_ArmSpan.Eth","b[4]",1.00017419113988,10301.2546967747
"Female","m2_ArmSpan.Eth","b[5]",1.00013137814756,11773.7077155125
"Female","m2_Leg.Eth","x[1]",1.00012626600922,13028.7118791295
"Female","m2_Leg.Eth","x[2]",1.00015862021007,15521.7630323058
"Female","m2_Leg.Eth","x[3]",1.00014812472776,14135.6871827978
"Female","m2_Leg.Eth","x[4]",1.00017279435805,14705.3791570235
"Female","m2_Leg.Eth","x[5]",1.00076802881908,15612.9373702867
"Female","m2_Leg.Eth","z[1]",0.99996852590478,9930.60592122179
"Female","m2_Leg.Eth","z[2]",1.00036738018898,14003.1905846445
"Female","m2_Leg.Eth","z[3]",1.00004996341446,16512.6467051718
"Female","m2_Leg.Eth","z[4]",1.00031066746264,12412.4430029473
"Female","m2_Leg.Eth","z[5]",1.00007941643966,16798.7631148975
"Female","m2_Leg.Eth","a",1.0006670283145,7610.4158626756
"Female","m2_Leg.Eth","sigma_b",1.00028251213552,6545.75663722105
"Female","m2_Leg.Eth","sigma_y",1.00068149805634,6951.87956953652
"Female","m2_Leg.Eth","sigma",0.999917532517849,17702.5752188579
"Female","m2_Leg.Eth","y[1]",1.00067311980409,7762.34891272776
"Female","m2_Leg.Eth","y[2]",1.00040179792313,10178.7025283779
"Female","m2_Leg.Eth","y[3]",1.00005937084804,14783.6620104895
"Female","m2_Leg.Eth","y[4]",1.00052000068532,10476.7798515895
"Female","m2_Leg.Eth","y[5]",1.00039099769516,15305.5480598523
"Female","m2_Leg.Eth","b[1]",0.999987121445224,11561.2606859809
"Female","m2_Leg.Eth","b[2]",1.00028862802317,15368.0011796929
"Female","m2_Leg.Eth","b[3]",1.00027540539725,14339.6967623866
"Female","m2_Leg.Eth","b[4]",1.00022589767369,13689.6554371262
"Female","m2_Leg.Eth","b[5]",1.00016566342612,14748.634041303
"Female","m2_Femur.Eth","x[1]",1.0002184559571,12904.0309479797
"Female","m2_Femur.Eth","x[2]",1.00026952630936,17875.6970677972
"Female","m2_Femur.Eth","x[3]",1.00012198960016,15497.6421522603
"Female","m2_Femur.Eth","x[4]",1.00016120480468,15460.6571515595
"Female","m2_Femur.Eth","x[5]",1.0002067269658,14513.409507704
"Female","m2_Femur.Eth","z[1]",1.00040145467276,11363.1649346787
"Female","m2_Femur.Eth","z[2]",1.00025452851897,14613.6833815376
"Female","m2_Femur.Eth","z[3]",0.999865489154379,15296.0629416742
"Female","m2_Femur.Eth","z[4]",1.00001715274674,13965.5735222502
"Female","m2_Femur.Eth","z[5]",1.00043825816864,18228.3287217782
"Female","m2_Femur.Eth","a",1.00032220240204,8986.03848423124
